0.00006010,0.00003140,0.00003560,0.00020512,0.00000340,0.00000400,0.00011260,0.00043498,0.00013364,0.00014429,0.00003762,0.00009141,0.00003323,0.00002653,0.00010280,0.00011895,0.00001381,0.00003977,0.00038466,0.00005086,0.00003556,0.00001437,0.00005352,0.00003885,0.00008424,0.00000016,0.00003006,0.00006248,0.00006456,0.00022843,0.00003937,0.00017388,0.00008276,0.00023739,0.00004344,0.00007533,0.00011170
0.00019062,0.00003491,0.00006187,0.00001840,0.00000147,0.00024969,0.00018494,0.00006423,0.00014913,0.00003318,0.00013828,0.00005039,0.00014833,0.00025044,0.00012153,0.00006228,0.00011688,0.00009621,0.00013008,0.00001504,0.00004212,0.00033171,0.00018113,0.00027564,0.00015369,0.00005771,0.00026410,0.00004886,0.00023074,0.00010255,0.00004217,0.00012603,0.00009458,0.00018778,0.00019419,0.00010740,0.00004053
0.00018033,0.00011067,0.00012464,0.00019710,0.00002665,0.00001961,0.00019326,0.00010105,0.00018895,0.00003095,0.00002486,0.00000535,0.00016060,0.00010460,0.00023246,0.00017394,0.00010810,0.00015912,0.00009113,0.00015230,0.00008298,0.00013082,0.00007950,0.00004921,0.00021521,0.00001976,0.00000327,0.00001500,0.00005934,0.00002033,0.00026201,0.00011634,0.00005858,0.00006357,0.00005342,0.00000872,0.00003521
0.00002358,0.00012546,0.00005239,0.00009623,0.00013011,0.00033033,0.00047693,0.00017308,0.00003000,0.00016542,0.00008390,0.00020773,0.00006083,0.00004281,0.00003893,0.00005332,0.00008421,0.00023938,0.00003265,0.00000741,0.00042502,0.00000263,0.00003111,0.00037893,0.00001695,0.00029260,0.00003093,0.00004553,0.00005269,0.00033936,0.00015133,0.00006734,0.00006662,0.00000386,0.00005125,0.00000489,0.00002488
0.00004356,0.00005846,0.00063141,0.00005601,0.00017500,0.00000843,0.00000992,0.00010842,0.00003239,0.00004214,0.00008031,0.00001180,0.00011642,0.00005421,0.00001194,0.00055914,0.00033019,0.00005223,0.00003989,0.00004582,0.00008306,0.00002682,0.00003027,0.00014807,0.00000818,0.00022596,0.00008559,0.00000646,0.00004925,0.00006975,0.00004613,0.00024807,0.00015142,0.00008764,0.00016644,0.00009554,0.00006737
0.00077122,0.00005427,0.00006734,0.00000341,0.00002040,0.00002828,0.00001590,0.00027159,0.00009763,0.00009498,0.00003599,0.00014430,0.00044361,0.00019441,0.00013705,0.00003779,0.00000233,0.00007455,0.00013789,0.00020176,0.00022901,0.00003528,0.00000914,0.00003344,0.00001720,0.00024429,0.00016433,0.00003610,0.00033785,0.00006252,0.00002236,0.00000457,0.00038056,0.00003606,0.00051024,0.00016091,0.00001792
0.00017032,0.00003893,0.00018975,0.00002201,0.00002446,0.00028063,0.00018669,0.00000483,0.00005339,0.00021162,0.00021678,0.00015607,0.00013599,0.00007942,0.00021133,0.00013647,0.00003228,0.00001973,0.00001452,0.00030346,0.00024274,0.00009827,0.00024777,0.00011316,0.00019539,0.00000694,0.00003982,0.00001995,0.00003288,0.00008070,0.00003082,0.00004475,0.00003510,0.00007422,0.00013755,0.00000213,0.00017638
0.00006955,0.00008515,0.00004398,0.00006231,0.00015558,0.00003000,0.00004922,0.00002901,0.00006114,0.00001760,0.00004871,0.00009056,0.00002919,0.00002772,0.00009101,0.00009761,0.00013742,0.00015588,0.00001088,0.00003983,0.00024077,0.00009391,0.00010711,0.00035831,0.00054284,0.00038193,0.00004538,0.00040144,0.00007985,0.00009018,0.00016394,0.00015338,0.00032573,0.00003584,0.00009118,0.00004086,0.00001708
0.00031220,0.00010819,0.00016811,0.00000823,0.00012460,0.00005535,0.00024688,0.00011328,0.00015531,0.00008159,0.00001263,0.00023391,0.00023260,0.00003379,0.00013627,0.00016316,0.00001666,0.00013789,0.00003270,0.00000264,0.00009940,0.00024389,0.00001631,0.00001367,0.00002739,0.00005763,0.00031426,0.00001175,0.00012545,0.00011283,0.00007759,0.00030964,0.00021852,0.00018846,0.00002746,0.00004316,0.00016481
0.00001387,0.00006884,0.00005182,0.00018281,0.00012953,0.00005567,0.00000680,0.00032678,0.00005821,0.00012503,0.00051155,0.00010476,0.00023430,0.00001943,0.00010741,0.00009903,0.00023781,0.00001235,0.00005231,0.00015886,0.00009723,0.00015549,0.00020829,0.00018249,0.00003085,0.00004214,0.00008880,0.00006774,0.00018678,0.00000270,0.00031083,0.00005806,0.00008167,0.00002508,0.00007853,0.00006762,0.00000912
